folder,file,ext,kategorie,bytes,geaendert
Alte Texte/Carl von Kraus,wilder alex0009.ashx,.ashx,text,1151930,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0010.ashx,.ashx,text,111530,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0012.ashx,.ashx,text,63368,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0013.ashx,.ashx,text,55144,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0014.ashx,.ashx,text,186590,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0015.ashx,.ashx,text,55066,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0016.ashx,.ashx,text,91731,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0017.ashx,.ashx,text,61325,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0018.ashx,.ashx,text,82652,2010-12-23
Alte Texte/Carl von Kraus,wilder alex0019.ashx,.ashx,text,67871,2010-12-23
Alte Texte/Carl von Kraus,WME (1).txt,.txt,text,18246,2011-08-01
Alte Texte/Carl von Kraus,WVB (1).txt,.txt,text,7130,2011-08-01
Alte Texte/Carl von Kraus,WVP (1).txt,.txt,text,14064,2011-08-01
Alte Texte/CvKraus - Tanja/CvK Seitenbilder/01. Wilder Alex 1b19,scans 1 wilder alex0001.tif,.tif,scan,1162610,2008-07-22
Alte Texte/CvKraus - Tanja/CvK Seitenbilder/01. Wilder Alex 1b19,scans 1 wilder alex0001.zip,.zip,archiv,56984,2008-07-22
Alte Texte/CvKraus - Tanja/CvK Seitenbilder/01. Wilder Alex 1b19,scans 1 wilder alex0002.tif,.tif,scan,1141938,2008-07-22
